表示語	解析語
PEJVO.txt (単語数・正規化後ユニーク): 37,434	PEJVO.txt (単語数・正規化後ユニーク): 37,434
差集合 (PIVのみ): 12,964	差集合 (PIVのみ): 12,964
-adien	-adien
-anc	-anc
-antaĵo	-antaĵo
-ante	-ante
-anto	-anto
-ataĵo	-ataĵo
-ate	-ate
-ateco	-ateco
-ato	-ato
-ator	-ator
-az	-az
-butenalo	-butenalo
-fic	-fic
-fit	-fit
-gen	-gen
-graf	-graf
-grafio	-grafio
-gram	-gram
-icid	-icid
-intaĵo	-intaĵo
-inte	-inte
-into	-into
-itaĵo	-itaĵo
-ite	-ite
-iteco	-iteco
-ito	-ito
-iveco	-iveco
-ivo	-ivo
-land	-land
-micet	-micet
-mikot	-mikot
-mikoten	-mikoten
-morf	-morf
-nomial	-nomial
-om	-om
-onte	-onte
-onto	-onto
-opsid	-opsid
-otaĵo	-otaĵo
-oto	-oto
-ozan	-ozan
-peksi	-peksi
-propanolo	-propanolo
-som	-som
-stomi	-stomi
-tet	-tet
-tom	-tom
-tomizi	-tomizi
-trop	-trop
-unt	-unt
Aarono	Aarono
Abadono	Abadono
abandoni	abandoni
abandonismo	abandonismo
abandono	abandono
abatiso	abatiso
abazio	abazio
abdukcio	abdukcio
abduktoro	abduktoro
Abelardo	Abelardo
abevilio	abevilio
abiogenezo	abiogenezo
ablacio	ablacio
Abnero	Abnero
abnorma	abnorma
abolismo	abolismo
abomaso	abomaso
abortitaĵo	abortitaĵo
Abrahama	Abrahama
abrazia	abrazia
abrazio	abrazio
abrogacii	abrogacii
abrogi	abrogi
abrogo	abrogo
Abruzo	Abruzo
abulio	abulio
abutilo	abutilo
abĵuri	abĵuri
Abŝalomo	Abŝalomo
ace	ace
acetabulo	acetabulo
acetili	acetili
acetonemio	acetonemio
acetonilo	acetonilo
acetonurio	acetonurio
acidimetro	acidimetro
acidozo	acidozo
acino	acino
acipensero	acipensero
acipenseroformaj	acipenseroformaj
Aciso	Aciso
adamantino	adamantino
adaptometrio	adaptometrio
Adena	Adena
adenito	adenito
adenoida	adenoida
adenoidismo	adenoidismo
adenoidito	adenoidito
adenomo	adenomo
adenopatio	adenopatio
adenozilo	adenozilo
adenpatio	adenpatio
adipo	adipo
adipogenezo	adipogenezo
adipozo	adipozo
adisona	adisona
Adisono	Adisono
adjudanto	adjudanto
ADP	ADP
Adria	Adria
Adriano	Adriano
adsubstantivo	adsubstantivo
adukcio	adukcio
aduktoro	aduktoro
adulteri	adulteri
advekcio	advekcio
adventico	adventico
adventiva	adventiva
aedo	aedo
aeremio	aeremio
aernetoleranta	aernetoleranta
aerobiko	aerobiko
aeroforo	aeroforo
aerologio	aerologio
aerometrio	aerometrio
afanipteroj	afanipteroj
Afaro	Afaro
aferezo	aferezo
afidavito	afidavito
afidedoj	afidedoj
afikŝo	afikŝo
afinacii	afinacii
afinacio	afinacio
afineco	afineco
afiso	afiso
agamedoj	agamedoj
agamia	agamia
agamio	agamio
agaro	agaro
agatido	agatido
agenturo	agenturo
agerato	agerato
Aglajo	Aglajo
aglutinino	aglutinino
Agnio	Agnio
agnozio	agnozio
agoro	agoro
agrafilo	agrafilo
agrafio	agrafio
agreŝi	agreŝi
Agrikolo	Agrikolo
agutio	agutio
agvarao	agvarao
Ahasvero	Ahasvero
ahimsa	ahimsa
ahimsano	ahimsano
ahimso	ahimso
aidoŝo	aidoŝo
airo	airo
aizoacoj	aizoacoj
aizoo	aizoo
ajapano	ajapano
ajatolo	ajatolo
aji	aji
akada	akada
akantiaso	akantiaso
akantocefaloj	akantocefaloj
akantopterigoj	akantopterigoj
akarozo	akarozo
akcidenca	akcidenca
akcidenco	akcidenco
akcipitredoj	akcipitredoj
akebio	akebio
akenaro	akenaro
akeno	akeno
akeo	akeo
Akerono	Akerono
akerontio	akerontio
akinezio	akinezio
akmeo	akmeo
akneo	akneo
akolio	akolio
akolito	akolito
akonitino	akonitino
akontio	akontio
akorio	akorio
akoro	akoro
akrocefala	akrocefala
akrocefalo	akrocefalo
akrocianozo	akrocianozo
akroleino	akroleino
akromatopsia	akromatopsia
akromegalio	akromegalio
akromio	akromio
akroĥordo	akroĥordo
aksiometro	aksiometro
aksoido	aksoido
aksono	aksono
akteo	akteo
Akteono	Akteono
aktinidibero	aktinidibero
aktinidio	aktinidio
aktiniidoj	aktiniidoj
aktinistoj	aktinistoj
aktinolito	aktinolito
aktinomiceto	aktinomiceto
aktinomicetoj	aktinomicetoj
aktinomicetozo	aktinomicetozo
aktinopterigoj	aktinopterigoj
aktualismo	aktualismo
akuŝologio	akuŝologio
akvifoliacoj	akvifoliacoj
akvifolio	akvifolio
Akvilono	Akvilono
Akvinano	Akvinano
akvo-neafina	akvo-neafina
alambiko	alambiko
alando	alando
alanino	alanino
alantoido	alantoido
Alariko	Alariko
alaterno	alaterno
alaŭdedoj	alaŭdedoj
albedo	albedo
Albertino	Albertino
albigenso	albigenso
Albiono	Albiono
albito	albito
albizio	albizio
albugineito	albugineito
albugineo	albugineo
albugo	albugo
albumozo	albumozo
alcededoj	alcededoj
alcelafo	alcelafo
Alcestiso	Alcestiso
Alcibiado	Alcibiado
Alcinoo	Alcinoo
alcionio	alcionio
alcioniuloj	alcioniuloj
aldolo	aldolo
aldosterono	aldosterono
aleatora	aleatora
aleksino	aleksino
aleksio	aleksio
alektoro	alektoro
alelo	alelo
alero	alero
Aleutoj	Aleutoj
Aleĉjo	Aleĉjo
aleŭrito	aleŭrito
aleŭrodedoj	aleŭrodedoj
aleŭrodo	aleŭrodo
alfa-helico	alfa-helico
Alfonsino	Alfonsino
Alfonso	Alfonso
algida	algida
algideco	algideco
alginato	alginato
algino	algino
algio	algio
algiologio	algiologio
algiologo	algiologo
algologio	algologio
algologo	algologo
algonkio	algonkio
algvazilo	algvazilo
Alhambro	Alhambro
aliario	aliario
alidado	alidado
aliel	aliel
aliena	aliena
alieneco	alieneco
alieni	alieni
alienisto	alienisto
