PEJVOにあってvortaro.tsvにない語根: 2730個

語根リスト(例単語付き):
a-vort	# PEJVO例: a-vort/o
a.K.	# PEJVO例: a.K.
abolici	# PEJVO例: abolici/i
aborigen	# PEJVO例: aborigen/o
abstemi	# PEJVO例: abstemi/o
abstinenc	# PEJVO例: abstinenc/o
ac^	# PEJVO例: ac^/a
ac^et	# PEJVO例: ac^et/ad/o
ac^eu^le	# PEJVO例: ac^eu^le/o
acetat	# PEJVO例: acetat/a acid/o
acetil	# PEJVO例: acetil/o
acetilen	# PEJVO例: acetilen/o
aceton	# PEJVO例: aceton/o
adag^	# PEJVO例: adag^/e
adenin	# PEJVO例: adenin/o
adenozin	# PEJVO例: adenozin/o
adenozin-trifosfat	# PEJVO例: adenozin-trifosfat/a
adiau^	# PEJVO例: adiau^
adjudik	# PEJVO例: adjudik/i
administrator	# PEJVO例: administrator/o
admiralitat	# PEJVO例: admiralitat/o
adonid	# PEJVO例: adonid/o
adsorb	# PEJVO例: adsorb/i
advers	# PEJVO例: advers/a
advokat-konsil	# PEJVO例: advokat-konsil/ant/o
aerofagi	# PEJVO例: aerofagi/o
aerometr	# PEJVO例: aerometr/o
aeronau^t	# PEJVO例: aeronau^t/o
aeronau^tik	# PEJVO例: aeronau^tik/o
afis^	# PEJVO例: afis^/ej/o
afrik	# PEJVO例: afrik/a
ag^	# PEJVO例: ag^/a
ag^i	# PEJVO例: ag^i/o
ag^iot	# PEJVO例: ag^iot/i
agap	# PEJVO例: agap/o
agapant	# PEJVO例: agapant/o
agnostikism	# PEJVO例: agnostikism/o
agreg	# PEJVO例: agreg/i
agresiv	# PEJVO例: agresiv/a
ah^	# PEJVO例: ah^
ah^il	# PEJVO例: ah^il/a tenden/o
aha	# PEJVO例: aha
aides	# PEJVO例: aides/o
ain	# PEJVO例: ain/a
aj	# PEJVO例: aj
aj^	# PEJVO例: aj^/et/o
aj^ur	# PEJVO例: aj^ur/a
ajnu	# PEJVO例: ajnu/a
akaj^u	# PEJVO例: akaj^u/arb/o
akil	# PEJVO例: akil/a tenden/o
akirant	# PEJVO例: akirant/o
akrided	# PEJVO例: akrided/oj
aksis	# PEJVO例: aksis/o
akumulator	# PEJVO例: akumulator/o
akus^	# PEJVO例: akus^/a
akuŝ	# PEJVO例: akuŝ/il/o
akĉent	# PEJVO例: akĉent/o
alau^d	# PEJVO例: alau^d/falk/o
alc^emil	# PEJVO例: alc^emil/o
aleman	# PEJVO例: aleman/oj
alfa	# PEJVO例: alfa
alfa-dis	# PEJVO例: alfa-dis/er/ig^/o
alfa-korpuskl	# PEJVO例: alfa-korpuskl/oj
alfa-partikl	# PEJVO例: alfa-partikl/oj
alg^eri	# PEJVO例: alg^eri/an/o
alh^emi	# PEJVO例: alh^emi/o
alkaloid	# PEJVO例: alkaloid/o
almenau^	# PEJVO例: almenau^
along^	# PEJVO例: along^/o
alp	# PEJVO例: alp/a azale/o
alsin	# PEJVO例: alsin/o
alteno	# PEJVO例: alteno
alternanc	# PEJVO例: alternanc/o
alternator	# PEJVO例: alternator/o
altometr	# PEJVO例: altometr/o
altruist	# PEJVO例: altruist/o
ambau^	# PEJVO例: ambau^
ame	# PEJVO例: ame/o
ameboid	# PEJVO例: ameboid/a
amelaz	# PEJVO例: amelaz/o
amendament	# PEJVO例: amendament/o
amerik	# PEJVO例: amerik/a
amfibrah^	# PEJVO例: amfibrah^/o
amianti	# PEJVO例: amianti/o
amorfofal	# PEJVO例: amorfofal/a bulb/o
ampermetr	# PEJVO例: ampermetr/o
amplif	# PEJVO例: amplif/i
amplifikator	# PEJVO例: amplifikator/o
anafilaksi	# PEJVO例: anafilaksi/o
ananas-suk	# PEJVO例: ananas-suk/o
anarh^i	# PEJVO例: anarh^i/o
anarkism	# PEJVO例: anarkism/o
anarkist	# PEJVO例: anarkist/o
anatom	# PEJVO例: anatom/o
anc^	# PEJVO例: anc^/instrument/o
anc^ov	# PEJVO例: anc^ov/o
andaluzi	# PEJVO例: andaluzi/a
aneu^rism	# PEJVO例: aneu^rism/o
ang^el	# PEJVO例: ang^el/a
ang^elus	# PEJVO例: ang^elus/o
angstrom	# PEJVO例: angstrom/o
ankau^	# PEJVO例: ankau^
ankorau^	# PEJVO例: ankorau^
ankorau^ ne	# PEJVO例: ankorau^ ne
ankuz	# PEJVO例: ankuz/o
ann	# PEJVO例: ann/o
anormal	# PEJVO例: anormal/a
anstatau^	# PEJVO例: anstatau^
anstataŭ	# PEJVO例: anstataŭ/iĝ/i
antarkt	# PEJVO例: antarkt/a
antau^	# PEJVO例: antau^
antau^ Krist	# PEJVO例: antau^ Krist/o
antau^ ol	# PEJVO例: antau^ ol
antaŭ	# PEJVO例: antaŭ/o
antem	# PEJVO例: antem/o
antemid	# PEJVO例: antemid/o
anticiklon	# PEJVO例: anticiklon/o
antifraz	# PEJVO例: antifraz/o
antigen	# PEJVO例: antigen/o
antikorp	# PEJVO例: antikorp/o
antikorpuskl	# PEJVO例: antikorpuskl/o
antineu^trin	# PEJVO例: antineu^trin/o
antipartikl	# PEJVO例: antipartikl/o
antiproton	# PEJVO例: antiproton/o
antropomorfism	# PEJVO例: antropomorfism/o
apac^	# PEJVO例: apac^/o
apanag^	# PEJVO例: apanag^/o
apanaĝ	# PEJVO例: apanaĝ/i
apenau^	# PEJVO例: apenau^
apiac	# PEJVO例: apiac/oj
aplau^d	# PEJVO例: aplau^d/i
aplaŭd	# PEJVO例: aplaŭd/ad/o
apne	# PEJVO例: apne/a sindrom/o
apod	# PEJVO例: apod/o
apog^atur	# PEJVO例: apog^atur/o
apret	# PEJVO例: apret/ad/o
apunt	# PEJVO例: apunt/o
araknoid	# PEJVO例: araknoid/o
arame	# PEJVO例: arame/o
arang^	# PEJVO例: arang^/em/a
aranĝ	# PEJVO例: aranĝ/a
arau^kari	# PEJVO例: arau^kari/o
arbitrag^	# PEJVO例: arbitrag^/o
arc^	# PEJVO例: arc^/o
ardizi	# PEJVO例: ardizi/o
arg^ent	# PEJVO例: arg^ent/a
arg^entan	# PEJVO例: arg^entan/o
arg^irol	# PEJVO例: arg^irol/o
argentin	# PEJVO例: argentin/a
argonau^t	# PEJVO例: argonau^t/o
arh^aik	# PEJVO例: arh^aik/a
arh^aism	# PEJVO例: arh^aism/o
arh^eolog	# PEJVO例: arh^eolog/o
arh^eologi	# PEJVO例: arh^eologi/o
arh^ipelag	# PEJVO例: arh^ipelag/o
arh^itekt	# PEJVO例: arh^itekt/o
arh^itektur	# PEJVO例: arh^itektur/o
arh^iv	# PEJVO例: arh^iv/o
ariergard	# PEJVO例: ariergard/o
aristotel	# PEJVO例: aristotel/ism/o
arkiduk	# PEJVO例: arkiduk/o
arkipelag	# PEJVO例: arkipelag/o
arpeg^	# PEJVO例: arpeg^/i
ars^in	# PEJVO例: ars^in/o
artez	# PEJVO例: artez/a
artis^ok	# PEJVO例: artis^ok/o
artiŝok	# PEJVO例: artiŝok/fund/o
artritism	# PEJVO例: artritism/o
arĝent	# PEJVO例: arĝent/ism/o
as-temp	# PEJVO例: as-temp/o
as^kenaz	# PEJVO例: as^kenaz/o
asembl	# PEJVO例: asembl/a lingv/o
asiri	# PEJVO例: asiri/o/log/o
aski	# PEJVO例: aski/a sign/o
asterac	# PEJVO例: asterac/oj
astigmatism	# PEJVO例: astigmatism/o
astrakan	# PEJVO例: astrakan/o
astronau^t	# PEJVO例: astronau^t/o
astronaŭtik	# PEJVO例: astronaŭtik/o
atas^e	# PEJVO例: atas^e/o
atenu	# PEJVO例: atenu/a indic/o
atik	# PEJVO例: atik/a
atletik	# PEJVO例: atletik/o
atm.	# PEJVO例: atm.
atrepsi	# PEJVO例: atrepsi/o
au^	# PEJVO例: au^
au^d	# PEJVO例: au^d/a
au^dac	# PEJVO例: au^dac/a
au^dienc	# PEJVO例: au^dienc/o
au^ditori	# PEJVO例: au^ditori/o
au^gur	# PEJVO例: au^gur/ad/o
au^gust	# PEJVO例: au^gust/o
au^gusten	# PEJVO例: au^gusten/ism/o
au^kci	# PEJVO例: au^kci/i
au^l	# PEJVO例: au^l/o
au^reol	# PEJVO例: au^reol/o
au^rignaci	# PEJVO例: au^rignaci/o
au^rikl	# PEJVO例: au^rikl/o
au^rikul	# PEJVO例: au^rikul/o
au^ror	# PEJVO例: au^ror/o
au^skult	# PEJVO例: au^skult/ad/o
au^spici	# PEJVO例: au^spici/o
au^str	# PEJVO例: au^str/a
au^strali	# PEJVO例: au^strali/a
au^t	# PEJVO例: au^t/ej/o
au^tarci	# PEJVO例: au^tarci/o
au^tent	# PEJVO例: au^tent/a
au^tentik	# PEJVO例: au^tentik/a
au^tism	# PEJVO例: au^tism/a infan/o
au^tobiografi	# PEJVO例: au^tobiografi/o
au^tobus	# PEJVO例: au^tobus/halt/ej/o
au^todafe	# PEJVO例: au^todafe/o
au^todidakt	# PEJVO例: au^todidakt/o
au^togir	# PEJVO例: au^togir/o
au^tograf	# PEJVO例: au^tograf/o
au^tografi	# PEJVO例: au^tografi/o
au^tokrat	# PEJVO例: au^tokrat/ism/o
au^tokrati	# PEJVO例: au^tokrati/o
au^tokton	# PEJVO例: au^tokton/o
au^tomaci	# PEJVO例: au^tomaci/o
au^tomat	# PEJVO例: au^tomat/a
au^tomobil	# PEJVO例: au^tomobil/ism/o
au^tonom	# PEJVO例: au^tonom/a
au^tonomi	# PEJVO例: au^tonomi/o
au^tor	# PEJVO例: au^tor/ekzempler/oj
au^toritat	# PEJVO例: au^toritat/a
au^tun	# PEJVO例: au^tun/a
avangard	# PEJVO例: avangard/a
avantag^	# PEJVO例: avantag^/a
averag^	# PEJVO例: averag^/a
averaĝ	# PEJVO例: averaĝ/o
avers	# PEJVO例: avers/o
avi	# PEJVO例: avi/ad/a
aviad	# PEJVO例: aviad/i
azerbajg^an	# PEJVO例: azerbajg^an/an/o
azi	# PEJVO例: azi/a
aztek	# PEJVO例: aztek/oj
azuki	# PEJVO例: azuki/o
aŭd	# PEJVO例: aŭd/ant/o
aŭgur	# PEJVO例: aŭgur/ist/in/o
aŭk	# PEJVO例: aŭk/o
aŭr	# PEJVO例: aŭr/o
aŭreol	# PEJVO例: aŭreol/i
aŭreomicin	# PEJVO例: aŭreomicin/o
aŭror	# PEJVO例: aŭror/i
aŭskult	# PEJVO例: aŭskult/ant/ar/o
aŭt	# PEJVO例: aŭt/ad/i
aŭtoklav	# PEJVO例: aŭtoklav/i
aŭtokrat	# PEJVO例: aŭtokrat/a
aŭtoliz	# PEJVO例: aŭtoliz/o
aŭtomat	# PEJVO例: aŭtomat/ec/o
aŭtomobil	# PEJVO例: aŭtomobil/a
aŭtonomi	# PEJVO例: aŭtonomi/a
aŭtor	# PEJVO例: aŭtor/a
aŭtoritat	# PEJVO例: aŭtoritat/ec/o
babel	# PEJVO例: babel/ism/o
babus^	# PEJVO例: babus^/o
bac^	# PEJVO例: bac^/o
badminton	# PEJVO例: badminton/o
bagag^	# PEJVO例: bagag^/o
baht	# PEJVO例: baht/o
bakalau^r	# PEJVO例: bakalau^r/ec/o
bakanal	# PEJVO例: bakanal/o
bakteriologi	# PEJVO例: bakteriologi/o
baktri	# PEJVO例: baktri/a kamel/o
baldau^	# PEJVO例: baldau^
balkan	# PEJVO例: balkan/ig/i
bandag^	# PEJVO例: bandag^/i
bandaĝ	# PEJVO例: bandaĝ/ist/o
bandoni	# PEJVO例: bandoni/o
banĝ	# PEJVO例: banĝ/o
barbarism	# PEJVO例: barbarism/o
barc^	# PEJVO例: barc^/o
barg^	# PEJVO例: barg^/o
barjon	# PEJVO例: barjon/o
basedov	# PEJVO例: basedov/a mal/san/o
bau^	# PEJVO例: bau^/o
bau^d	# PEJVO例: bau^d/o
bau^druc^	# PEJVO例: bau^druc^/o
bau^m	# PEJVO例: bau^m/i
baŭksit	# PEJVO例: baŭksit/o
bedau^r	# PEJVO例: bedau^r/at/a
bekerel	# PEJVO例: bekerel/o
bekverel	# PEJVO例: bekverel/o
beletristik	# PEJVO例: beletristik/o
benediktan	# PEJVO例: benediktan/a labor/o
bengal	# PEJVO例: bengal/a lingv/o
benign	# PEJVO例: benign/a
benzoat	# PEJVO例: benzoat/a acid/o
berberisac	# PEJVO例: berberisac/oj
bes^amel	# PEJVO例: bes^amel/a sau^c/o
beta	# PEJVO例: beta
beta-dis	# PEJVO例: beta-dis/er/ig^/o
bibliofili	# PEJVO例: bibliofili/o
bikonkav	# PEJVO例: bikonkav/a
bikonveks	# PEJVO例: bikonveks/a
biks^u	# PEJVO例: biks^u/o
bilg^	# PEJVO例: bilg^/a kil/o
bimetalism	# PEJVO例: bimetalism/o
bio	# PEJVO例: bio/diversec/o
bio-	# PEJVO例: bio-
biocenoz	# PEJVO例: biocenoz/o
biofizik	# PEJVO例: biofizik/o
biogeografi	# PEJVO例: biogeografi/o
biomas	# PEJVO例: biomas/a energi/o
biosfer	# PEJVO例: biosfer/o
biotop	# PEJVO例: biotop/o
birm	# PEJVO例: birm/a lingv/o
bk	# PEJVO例: bk
blenoragi	# PEJVO例: blenoragi/o
blog	# PEJVO例: blog/o
blokhaŭs	# PEJVO例: blokhaŭs/o
bo-	# PEJVO例: bo-
bodi	# PEJVO例: bodi/arb/o
bog^i	# PEJVO例: bog^i/o
bohemi	# PEJVO例: bohemi/an/o
boleto	# PEJVO例: boleto
bols^evism	# PEJVO例: bols^evism/o
bols^evist	# PEJVO例: bols^evist/o
bos^man	# PEJVO例: bos^man/o
bosni	# PEJVO例: bosni/an/o
boson	# PEJVO例: boson/o
boston	# PEJVO例: boston/o
botau^r	# PEJVO例: botau^r/o
brag^	# PEJVO例: brag^/o
braman	# PEJVO例: braman/ism/o
branc^	# PEJVO例: branc^/aj^/o
branĉ	# PEJVO例: branĉ/a
brazil	# PEJVO例: brazil/a
brazilj	# PEJVO例: brazilj/a
brec^	# PEJVO例: brec^/et/i
brig^	# PEJVO例: brig^/i
briofit	# PEJVO例: briofit/oj
broc^	# PEJVO例: broc^/o
bromid	# PEJVO例: bromid/o
bronkit	# PEJVO例: bronkit/o
brontosaŭr	# PEJVO例: brontosaŭr/o
bros^ur	# PEJVO例: bros^ur/ad/o
broŝur	# PEJVO例: broŝur/il/o
brusel	# PEJVO例: brusel/brasik/o
buc^	# PEJVO例: buc^/ad/o
buda	# PEJVO例: buda/ism/o
budapes^t	# PEJVO例: budapes^t/a
budg^et	# PEJVO例: budg^et/o
budh	# PEJVO例: budh/an/a nom/o
bug^et	# PEJVO例: bug^et/a jar/o
bulbil	# PEJVO例: bulbil/o
burg^	# PEJVO例: burg^/a
burg^on	# PEJVO例: burg^on/brasik/o
burger	# PEJVO例: burger/o
burh^	# PEJVO例: burh^/o
burund	# PEJVO例: burund/an/o
burĝ	# PEJVO例: burĝ/iĝ/i
bus^	# PEJVO例: bus^/a
bus^el	# PEJVO例: bus^el/o
bus^men	# PEJVO例: bus^men/o
butan	# PEJVO例: butan/o
butanol	# PEJVO例: butanol/o
buĉ	# PEJVO例: buĉ/aĵ/o
buŝ	# PEJVO例: buŝ/aĉ/o
bv.	# PEJVO例: bv.
c^.	# PEJVO例: c^.
c^abrak	# PEJVO例: c^abrak/o
c^ador	# PEJVO例: c^ador/o
c^agren	# PEJVO例: c^agren/a
c^ajot	# PEJVO例: c^ajot/o
c^ak	# PEJVO例: c^ak/o
c^am	# PEJVO例: c^am/kolor/a
c^ambelan	# PEJVO例: c^ambelan/in/o
c^ambr	# PEJVO例: c^ambr/a orkestr/o
c^ampan	# PEJVO例: c^ampan/glas/o
c^ampion	# PEJVO例: c^ampion/ad/o
c^an	# PEJVO例: c^an/o
c^antag^	# PEJVO例: c^antag^/i
c^ap	# PEJVO例: c^ap/o
c^apel	# PEJVO例: c^apel/ej/o
c^apitr	# PEJVO例: c^apitr/o
c^ar	# PEJVO例: c^ar
c^arlatan	# PEJVO例: c^arlatan/aj^/o
c^arm	# PEJVO例: c^arm/a
c^arnir	# PEJVO例: c^arnir/o
c^arpent	# PEJVO例: c^arpent/ad/o
c^arpi	# PEJVO例: c^arpi/o
c^art	# PEJVO例: c^art/aviad/il/o
c^as	# PEJVO例: c^as/ad/o
c^asi	# PEJVO例: c^asi/o
c^ast	# PEJVO例: c^ast/a
c^e	# PEJVO例: c^e
c^ec^en	# PEJVO例: c^ec^en/o
c^ef	# PEJVO例: c^ef/a
c^ef-	# PEJVO例: c^ef-
c^eh^	# PEJVO例: c^eh^/a
c^ek	# PEJVO例: c^ek/o
c^el	# PEJVO例: c^el/aj^/o
c^elkerno	# PEJVO例: c^elkerno
c^emiz	# PEJVO例: c^emiz/bluz/o
c^en	# PEJVO例: c^en/a
c^eriz	# PEJVO例: c^eriz/arb/o
c^erk	# PEJVO例: c^erk/a
c^erkes	# PEJVO例: c^erkes/o
c^ernobil	# PEJVO例: c^ernobil/a nukle/a central/o
c^erp	# PEJVO例: c^erp/ad/o
c^es	# PEJVO例: c^es/i
c^eval	# PEJVO例: c^eval/ac^/o
c^evron	# PEJVO例: c^evron/o
c^i	# PEJVO例: c^i
c^i c^io	# PEJVO例: c^i c^io
c^i last	# PEJVO例: c^i last/a
c^i tia	# PEJVO例: c^i tia
c^i tial	# PEJVO例: c^i tial
c^i tiam	# PEJVO例: c^i tiam
c^i tie	# PEJVO例: c^i tie
c^i tiel	# PEJVO例: c^i tiel
c^i ties	# PEJVO例: c^i ties
c^i tio	# PEJVO例: c^i tio
c^i tiom	# PEJVO例: c^i tiom
c^i tiu	# PEJVO例: c^i tiu
c^i tiu last	# PEJVO例: c^i tiu last/a
c^i tiu semajn	# PEJVO例: c^i tiu semajn/o
c^i-flank	# PEJVO例: c^i-flank/e
c^i-foj	# PEJVO例: c^i-foj/e
c^i-jar	# PEJVO例: c^i-jar/a
c^i-kun	# PEJVO例: c^i-kun/e
c^i-land	# PEJVO例: c^i-land/a
c^i-maten	# PEJVO例: c^i-maten/e
c^i-moment	# PEJVO例: c^i-moment/e
c^i-nokt	# PEJVO例: c^i-nokt/e
c^i-okaz	# PEJVO例: c^i-okaz/e
c^i-pri	# PEJVO例: c^i-pri/e
c^i-rilat	# PEJVO例: c^i-rilat/e
c^i-semajn	# PEJVO例: c^i-semajn/e
c^i-sub	# PEJVO例: c^i-sub/e
c^i-supr	# PEJVO例: c^i-supr/e
c^i-tie	# PEJVO例: c^i-tie/a
c^i-vesper	# PEJVO例: c^i-vesper/e
c^ia	# PEJVO例: c^ia
c^ial	# PEJVO例: c^ial
c^iam	# PEJVO例: c^iam
c^iam pli	# PEJVO例: c^iam pli
c^ic^eron	# PEJVO例: c^ic^eron/o
c^ie	# PEJVO例: c^ie
c^ie ajn	# PEJVO例: c^ie ajn
c^iel	# PEJVO例: c^iel
c^ies	# PEJVO例: c^ies
c^if	# PEJVO例: c^if/aj^/o
c^ifon	# PEJVO例: c^ifon/a
c^ifr	# PEJVO例: c^ifr/a
c^ikan	# PEJVO例: c^ikan/em/a
c^il	# PEJVO例: c^il/o
c^ili	# PEJVO例: c^ili/an/o
c^im	# PEJVO例: c^im/o
c^imaron	# PEJVO例: c^imaron/o
c^impanz	# PEJVO例: c^impanz/o
c^in	# PEJVO例: c^in/a
c^io	# PEJVO例: c^io
c^io c^i	# PEJVO例: c^io c^i
c^iom	# PEJVO例: c^iom
c^ip	# PEJVO例: c^ip/a
c^ips	# PEJVO例: c^ips/oj
c^irkau^	# PEJVO例: c^irkau^
c^irp	# PEJVO例: c^irp/i
c^iu	# PEJVO例: c^iu
c^iz	# PEJVO例: c^iz/i
c^o	# PEJVO例: c^o
c^okolad	# PEJVO例: c^okolad/a
c^ot	# PEJVO例: c^ot/o
c^u	# PEJVO例: c^u
c^ukc^	# PEJVO例: c^ukc^/a
c^urask	# PEJVO例: c^urask/o
c^uvas^	# PEJVO例: c^uvas^/a lingv/o
cefal	# PEJVO例: cefal/a indic/o
cefe	# PEJVO例: cefe/id/o
cekumit	# PEJVO例: cekumit/o
celenter	# PEJVO例: celenter/ul/oj
celoidin	# PEJVO例: celoidin/o
celsi	# PEJVO例: celsi/a
celsius	# PEJVO例: celsius/a
celt	# PEJVO例: celt/o
celulit	# PEJVO例: celulit/o
cens	# PEJVO例: cens/o
cent mil	# PEJVO例: cent mil
centau^r	# PEJVO例: centau^r/o
centau^re	# PEJVO例: centau^re/o
centi-	# PEJVO例: centi-
centiar	# PEJVO例: centiar/o
centigram	# PEJVO例: centigram/o
centilitr	# PEJVO例: centilitr/o
centraliz	# PEJVO例: centraliz/i
cerber	# PEJVO例: cerber/o
cerumen	# PEJVO例: cerumen/o
cezar	# PEJVO例: cezar/a operaci/o
cianid	# PEJVO例: cianid/o
ciberspac	# PEJVO例: ciberspac/o
cikaded	# PEJVO例: cikaded/oj
cikloid	# PEJVO例: cikloid/o
ciklop	# PEJVO例: ciklop/a
cimbr	# PEJVO例: cimbr/oj
cion	# PEJVO例: cion/ism/o
cirkonferenc	# PEJVO例: cirkonferenc/o
co	# PEJVO例: co
cucugamuŝi	# PEJVO例: cucugamuŝi/o
cukcukcikad	# PEJVO例: cukcukcikad/o
d-ro	# PEJVO例: d-ro
dac	# PEJVO例: dac/o
damag^	# PEJVO例: damag^/i
damask	# PEJVO例: damask/o
dancig	# PEJVO例: dancig/i
dang^er	# PEJVO例: dang^er/a
dank' al	# PEJVO例: dank' al
darvin	# PEJVO例: darvin/ism/o
dau^b	# PEJVO例: dau^b/lign/o
dau^r	# PEJVO例: dau^r/a
daŭ	# PEJVO例: daŭ/o
daŭr	# PEJVO例: daŭr/ad/o
de antau^	# PEJVO例: de antau^
de kiam	# PEJVO例: de kiam
de mal	# PEJVO例: de mal/proksim/e
de nun	# PEJVO例: de nun
de post	# PEJVO例: de post
de proksim	# PEJVO例: de proksim/e
de sub	# PEJVO例: de sub
de sur	# PEJVO例: de sur
dec^ifr	# PEJVO例: dec^ifr/ad/o
deci-	# PEJVO例: deci-
decibel	# PEJVO例: decibel/o
decigram	# PEJVO例: decigram/o
decilitr	# PEJVO例: decilitr/o
decimetr	# PEJVO例: decimetr/o
dedic^	# PEJVO例: dedic^/i
defau^lt	# PEJVO例: defau^lt/o
dehidraci	# PEJVO例: dehidraci/o
deism	# PEJVO例: deism/o
deist	# PEJVO例: deist/o
dej^or	# PEJVO例: dej^or/a ministr/o
dek du	# PEJVO例: dek du
dek kvar	# PEJVO例: dek kvar
dek kvin	# PEJVO例: dek kvin
dek mil	# PEJVO例: dek mil
dek ses	# PEJVO例: dek ses
dek tri	# PEJVO例: dek tri
dek-du	# PEJVO例: dek-du/a
dek-kvar	# PEJVO例: dek-kvar/a
dek-kvin	# PEJVO例: dek-kvin/a
dek-ses	# PEJVO例: dek-ses/a
dek-tri	# PEJVO例: dek-tri/a
deka-	# PEJVO例: deka-
dekad	# PEJVO例: dekad/o
dekagram	# PEJVO例: dekagram/o
dekalitr	# PEJVO例: dekalitr/o
dekametr	# PEJVO例: dekametr/o
delft	# PEJVO例: delft/aj^/o
demars^	# PEJVO例: demars^/o
demograf	# PEJVO例: demograf/o
demoraliz	# PEJVO例: demoraliz/a
denominaci	# PEJVO例: denominaci/o
densometr	# PEJVO例: densometr/o
depes^	# PEJVO例: depes^/i
depresi	# PEJVO例: depresi/o
dermatit	# PEJVO例: dermatit/o
dermatolog	# PEJVO例: dermatolog/o
dermatologi	# PEJVO例: dermatologi/o
dermatoz	# PEJVO例: dermatoz/o
dervis^	# PEJVO例: dervis^/o
des mal	# PEJVO例: des mal/pli
des pli	# PEJVO例: des pli
detektor	# PEJVO例: detektor/o
detonaci	# PEJVO例: detonaci/i
deu^teri	# PEJVO例: deu^teri/o
deu^teron	# PEJVO例: deu^teron/o
devon	# PEJVO例: devon/o
devoni	# PEJVO例: devoni/o
dialektolog	# PEJVO例: dialektolog/o
dialektologi	# PEJVO例: dialektologi/o
diartr	# PEJVO例: diartr/o
dias	# PEJVO例: dias/o
diaskop	# PEJVO例: diaskop/o
diaterm	# PEJVO例: diaterm/a
diboc^	# PEJVO例: diboc^/a
diboĉ	# PEJVO例: diboĉ/aĵ/oj
difterit	# PEJVO例: difterit/o
diliĝenc	# PEJVO例: diliĝenc/o
diluvi	# PEJVO例: diluvi/o
dimanc^	# PEJVO例: dimanc^/a
dinamotor	# PEJVO例: dinamotor/o
dinosau^r	# PEJVO例: dinosau^r/o
dipleks	# PEJVO例: dipleks/a
dipol	# PEJVO例: dipol/o
direkci	# PEJVO例: direkci/o
direktal	# PEJVO例: direktal/o
direktori	# PEJVO例: direktori/o
dirigent	# PEJVO例: dirigent/o
dirt	# PEJVO例: dirt/a
dis-	# PEJVO例: dis-
disc^ipl	# PEJVO例: disc^ipl/o
disident	# PEJVO例: disident/o
diskursiv	# PEJVO例: diskursiv/a
divalent	# PEJVO例: divalent/a
diverg^	# PEJVO例: diverg^/a
diverg^enc	# PEJVO例: diverg^enc/o
diverĝ	# PEJVO例: diverĝ/ig/o
divizor	# PEJVO例: divizor/i
diĝit	# PEJVO例: diĝit/a
dog^	# PEJVO例: dog^/o
dolc^	# PEJVO例: dolc^/a
dolc^amar	# PEJVO例: dolc^amar/o
domag^	# PEJVO例: domag^/a
dominikan	# PEJVO例: dominikan/o
dong	# PEJVO例: dong/o
donj^uan	# PEJVO例: donj^uan/ism/o
donkih^ot	# PEJVO例: donkih^ot/ism/o
dop	# PEJVO例: dop/ad/o
dori	# PEJVO例: dori/an/o
dozologi	# PEJVO例: dozologi/o
dozometr	# PEJVO例: dozometr/o
dramaturg	# PEJVO例: dramaturg/o
dras^	# PEJVO例: dras^/ad/o
dravid	# PEJVO例: dravid/o
draĥm	# PEJVO例: draĥm/o
draĵ	# PEJVO例: draĵ/i
drednau^t	# PEJVO例: drednau^t/o
drezin	# PEJVO例: drezin/o
dros^k	# PEJVO例: dros^k/o
druz	# PEJVO例: druz/o
du kotiledon	# PEJVO例: du kotiledon/oj
du mil	# PEJVO例: du mil
duktil	# PEJVO例: duktil/a
duodenit	# PEJVO例: duodenit/o
duon	# PEJVO例: duon/sek/a
durdisk	# PEJVO例: durdisk/o
dus^	# PEJVO例: dus^/ej/o
dut	# PEJVO例: dut/o
e-ist	# PEJVO例: e-ist/a
e-libr	# PEJVO例: e-libr/o
e-vort	# PEJVO例: e-vort/o
ebol	# PEJVO例: ebol/a hemoragi/a febr/o
ec^	# PEJVO例: ec^
ec^ se	# PEJVO例: ec^ se
edinol	# PEJVO例: edinol/o
efervesk	# PEJVO例: efervesk/a
efloresk	# PEJVO例: efloresk/a
eg^	# PEJVO例: eg^/o
eh^	# PEJVO例: eh^/e
ejakul	# PEJVO例: ejakul/i
ek-	# PEJVO例: ek-
ekau^dat	# PEJVO例: ekau^dat/oj
ekinokl	# PEJVO例: ekinokl/o
eko	# PEJVO例: eko/impost/o
eko-	# PEJVO例: eko-
eks-	# PEJVO例: eks-
ekscelenc	# PEJVO例: ekscelenc/o
ekscitator	# PEJVO例: ekscitator/o
ekskoriaci	# PEJVO例: ekskoriaci/o
eksponometr	# PEJVO例: eksponometr/o
eksport-import	# PEJVO例: eksport-import/a
ekspoz	# PEJVO例: ekspoz/i
ekspresionism	# PEJVO例: ekspresionism/o
ekstemporal	# PEJVO例: ekstemporal/e
ekvatorial	# PEJVO例: ekvatorial/o
ekvil	# PEJVO例: ekvil/o
ekz.	# PEJVO例: ekz.
ekzekv	# PEJVO例: ekzekv/i
ekzistencialist	# PEJVO例: ekzistencialist/o
ekzorciz	# PEJVO例: ekzorciz/i
ekzot	# PEJVO例: ekzot/a
