# morpheme	POS	MEANING	TRANS	WITHOUT_END	WITH_END	SYNTH	RARITY	FLAG	# SOURCE
abandon	VERBO	N	X	N	KF	NLM	3	R	# PIV:abandoni
abandonism	SUBST	N	N	N	KF	NLM	3	R	# PIV:abandonismo
abandon	SUBST	N	N	N	KF	NLM	3	R	# PIV:abandono
abatis	SUBST	N	N	N	KF	NLM	3	R	# PIV:abatiso
abazi	SUBST	N	N	N	KF	NLM	3	R	# PIV:abazio
abdukci	SUBST	N	N	N	KF	NLM	3	R	# PIV:abdukcio
abduktor	SUBST	N	N	N	KF	NLM	3	R	# PIV:abduktoro
abevili	SUBST	N	N	N	KF	NLM	3	R	# PIV:abevilio
abiogenez	SUBST	N	N	N	KF	NLM	3	R	# PIV:abiogenezo
ablaci	SUBST	N	N	N	KF	NLM	3	R	# PIV:ablacio
abnorm	ADJ	N	N	N	KF	NLM	3	R	# PIV:abnorma
abolism	SUBST	N	N	N	KF	NLM	3	R	# PIV:abolismo
abomas	SUBST	N	N	N	KF	NLM	3	R	# PIV:abomaso
abortitaĵ	SUBST	N	N	N	KF	NLM	3	R	# PIV:abortitaĵo
abrazi	ADJ	N	N	N	KF	NLM	3	R	# PIV:abrazia
abrazi	SUBST	N	N	N	KF	NLM	3	R	# PIV:abrazio
abrogaci	VERBO	N	X	N	KF	NLM	3	R	# PIV:abrogacii
abrog	VERBO	N	X	N	KF	NLM	3	R	# PIV:abrogi
abrog	SUBST	N	N	N	KF	NLM	3	R	# PIV:abrogo
abuli	SUBST	N	N	N	KF	NLM	3	R	# PIV:abulio
abutil	SUBST	N	N	N	KF	NLM	3	R	# PIV:abutilo
abĵur	VERBO	N	X	N	KF	NLM	3	R	# PIV:abĵuri
ac	ADVERBO	N	N	N	KF	NLM	3	R	# PIV:ace
acetabul	SUBST	N	N	N	KF	NLM	3	R	# PIV:acetabulo
acetil	VERBO	N	X	N	KF	NLM	3	R	# PIV:acetili
acetonemi	SUBST	N	N	N	KF	NLM	3	R	# PIV:acetonemio
acetonil	SUBST	N	N	N	KF	NLM	3	R	# PIV:acetonilo
acetonuri	SUBST	N	N	N	KF	NLM	3	R	# PIV:acetonurio
acidimetr	SUBST	N	N	N	KF	NLM	3	R	# PIV:acidimetro
acidoz	SUBST	N	N	N	KF	NLM	3	R	# PIV:acidozo
acin	SUBST	N	N	N	KF	NLM	3	R	# PIV:acino
acipenser	SUBST	N	N	N	KF	NLM	3	R	# PIV:acipensero
acipenseroformaj	SUBST	N	N	N	KF	NLM	3	R	# PIV:acipenseroformaj
adamantin	SUBST	N	N	N	KF	NLM	3	R	# PIV:adamantino
adaptometri	SUBST	N	N	N	KF	NLM	3	R	# PIV:adaptometrio
adenit	SUBST	N	N	N	KF	NLM	3	R	# PIV:adenito
adenoid	ADJ	N	N	N	KF	NLM	3	R	# PIV:adenoida
adenoidism	SUBST	N	N	N	KF	NLM	3	R	# PIV:adenoidismo
adenoidit	SUBST	N	N	N	KF	NLM	3	R	# PIV:adenoidito
adenom	SUBST	N	N	N	KF	NLM	3	R	# PIV:adenomo
adenopati	SUBST	N	N	N	KF	NLM	3	R	# PIV:adenopatio
