# morpheme	POS	MEANING	TRANS	WITHOUT_END	WITH_END	SYNTH	RARITY	FLAG	# SOURCE
diport	SUBST	N	N	N	KF	NLM	4	R	# PIV:diporto (diport: sport, recreation) # OK
dipterokarpac	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:dipterokarpacoj (dipterocarp family Dipterocarpaceae)
dipterokarp	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:dipterokarpo (dipterocarp genus) # OK
direktism	SUBST	N	N	N	KF	NLM	4	R	# PIV:direktismo (directism: economic policy) # OK
dirk	SUBST	N	N	N	KF	NLM	4	R	# PIV:dirko (dirk: dagger) # OK
disaĝi	SUBST	N	N	N	KF	NLM	4	R	# PIV:disaĝio (disagio: stock premium) # OK
disel	SUBST	N	N	N	KF	NLM	4	R	# PIV:diselo (thistle genus Dipsacus) # OK
disjunkci	SUBST	GRAMATIKO	N	N	KF	NLM	4	R	# PIV:disjunkcio (disjunction: logic/grammar) # OK
disked	SUBST	N	N	N	KF	NLM	4	R	# PIV:diskedo (discus throw implement) # OK
diskomicet	SUBST	N	N	N	KF	NLM	4	R	# PIV:diskomicetoj (discomycetes: fungal class)
diskreci	SUBST	N	N	N	KF	NLM	4	R	# PIV:diskrecio (discretion) # OK
diskriminil	SUBST	N	N	N	KF	NLM	4	R	# PIV:diskriminilo (discriminator: electronic device) # OK
dismenore	SUBST	MALSANO	N	N	KF	NLM	4	R	# PIV:dismenoreo (dysmenorrhea: painful menstruation) # OK
dism	SUBST	GRAMATIKO	N	N	KF	NLM	4	R	# PIV:dismo (dismus: metrical foot) # OK
disom	ADJ	N	N	N	KF	NLM	4	R	# PIV:disoma (disomic: genetics) # OK
dispne	SUBST	MALSANO	N	N	KF	NLM	4	R	# PIV:dispneo (dyspnea: breathing difficulty) # OK
disproporci	SUBST	N	N	N	KF	NLM	4	R	# PIV:disproporcio (disproportion) # OK
dist	ADJ	N	N	N	KF	NLM	4	R	# PIV:dista (distal: anatomy term) # OK
distribuci	SUBST	N	N	N	KF	NLM	4	R	# PIV:distribucio (distribution) # OK
distribŭ	VERBO	N	T	N	KF	NLM	4	R	# PIV:distribŭi (to distribute) # OK
ditografi	SUBST	N	N	N	KF	NLM	4	R	# PIV:ditografio (dittography: writing error) # OK
diurezil	SUBST	MEDIKAMENTO	N	N	KF	NLM	4	R	# PIV:diurezilo (diuretic medication) # OK
divertikulektomi	SUBST	N	N	N	KF	NLM	4	R	# PIV:divertikulektomio (diverticulectomy: surgery) # OK
divertikul	SUBST	MALSANO	N	N	KF	NLM	4	R	# PIV:divertikulo (diverticulum: anatomical pouch) # OK
diverĝec	SUBST	N	N	N	KF	NLM	4	R	# PIV:diverĝeco (divergence) # OK
diĝest	SUBST	N	N	N	KF	NLM	4	R	# PIV:diĝesto (digest: compilation) # OK
docetism	SUBST	N	N	N	KF	NLM	4	R	# PIV:docetismo (docetism: Christian heresy) # OK
dodekaedr	SUBST	N	N	N	KF	NLM	4	R	# PIV:dodekaedro (dodecahedron) # OK
dodekafon	ADJ	N	N	N	KF	NLM	4	R	# PIV:dodekafona (dodecaphonic: twelve-tone) # OK
dodekafoni	SUBST	N	N	N	KF	NLM	4	R	# PIV:dodekafonio (dodecaphony: twelve-tone music) # OK
dodekafonism	SUBST	N	N	N	KF	NLM	4	R	# PIV:dodekafonismo (dodecaphonism: twelve-tone system) # OK
doger	SUBST	N	N	N	KF	NLM	4	R	# PIV:dogero (doge: Venetian ruler) # OK
dojn	SUBST	N	N	N	KF	NLM	4	R	# PIV:dojno (doyen: senior member) # OK
dokt	ADJ	N	N	N	KF	NLM	4	R	# PIV:dokta (learned, erudite) # OK
dolikot	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:dolikoto (hyacinth bean genus Dolichos) # OK
dolin	SUBST	N	N	N	KF	NLM	4	R	# PIV:dolino (doline: sinkhole) # OK
doli	SUBST	N	N	N	KF	NLM	4	R	# PIV:dolio (dolium: large jar) # OK
doliĥot	SUBST	ANIMALO	N	N	KF	NLM	4	R	# PIV:doliĥoto (Patagonian mara genus Dolichotis) # OK
dolman	SUBST	N	N	N	KF	NLM	4	R	# PIV:dolmano (dolman: jacket) # OK
dol	SUBST	N	N	N	KF	NLM	4	R	# PIV:dolo (dol: pain unit) # OK
dolomit	SUBST	MINERALO	N	N	KF	NLM	4	R	# PIV:dolomito (dolomite: mineral) # OK
dolomitpetr	SUBST	MINERALO	N	N	KF	NLM	4	R	# PIV:dolomitpetro (dolomite rock) # OK
domani	SUBST	N	N	N	KF	NLM	4	R	# PIV:domanio (domain: land) # OK
donaci	SUBST	N	N	N	KF	NLM	4	R	# PIV:donacio (donation) # OK
donak	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:donako (reed genus Arundo donax) # OK
dor	ADJ	N	N	N	KF	NLM	4	R	# PIV:dora (Doric: relating to Dorians) # OK
dorid	SUBST	ANIMALO	N	N	KF	NLM	4	R	# PIV:dorido (dorid nudibranch: sea slug) # OK
dorik	ADJ	N	N	N	KF	NLM	4	R	# PIV:dorika (Doric: architectural order) # OK
dornumit	ADJ	N	N	N	KF	NLM	4	R	# PIV:dornumita (spine-numbered: having dorsal numbering) # OK
dorsantaŭ	ADJ	N	N	N	KF	NLM	4	R	# PIV:dorsantaŭa (dorso-ventral) # OK
drab	SUBST	PLANTO	N	N	KF	NLM	4	R	# PIV:drabo (whitlow grass genus Draba) # OK
