表示語	解析語
akvo-neafina	akvo-neafina
alfa-helico	alfa-helico
aŭ-funkcio	aŭ-funkcio
bar-micvo	bar-micvo
benzoil-glicino	benzoil-glicino
cerebro-spina	cerebro-spina
dise-mise	dise-mise
do-gamo	do-gamo
finn-ugra	finn-ugra
finno-ugra	finno-ugra
gik-gak	gik-gak
gruo-dolio	gruo-dolio
i-modalo	i-modalo
izo-butanolo	izo-butanolo
kaj-funkcio	kaj-funkcio
kaj-ligaĵo	kaj-ligaĵo
kakinoko-diospiro	kakinoko-diospiro
kala-azaro	kala-azaro
kalam-akoro	kalam-akoro
kelt-ibero	kelt-ibero
majstroj-kantistoj	majstroj-kantistoj
mirobolan-prunuso	mirobolan-prunuso
n-nombraj	n-nombraj
napo-brasiko	napo-brasiko
ne-aŭ-funkcio	ne-aŭ-funkcio
ne-funkcio	ne-funkcio
ne-kaj-funkcio	ne-kaj-funkcio
ne-nobelo	ne-nobelo
nor-adrenalino	nor-adrenalino
nor-epinefrino	nor-epinefrino
orvergo-solidago	orvergo-solidago
pitang-eŭgenio	pitang-eŭgenio
rabarbo-reumo	rabarbo-reumo
rapo-brasiko	rapo-brasiko
reti-romanĉa	reti-romanĉa
riĉ-raĉ	riĉ-raĉ
ro-monatoj	ro-monatoj
sado-masoĥismo	sado-masoĥismo
tempo-kurumo	tempo-kurumo
ter-butanolo	ter-butanolo
terpom-fritoj	terpom-fritoj
tia-tia	tia-tia
to-ĉemizo	to-ĉemizo
uni-	uni-
unue-infektiĝo	unue-infektiĝo
venuskombil-skandiko	venuskombil-skandiko
