表示語	解析語
-adien	-adien
-anc	-anc
-antaĵo	-antaĵo
-ante	-ante
-anto	-anto
-ataĵo	-ataĵo
-ate	-ate
-ateco	-ateco
-ato	-ato
-ator	-ator
-az	-az
-butenalo	-butenalo
-fic	-fic
-fit	-fit
-gen	-gen
-graf	-graf
-grafio	-grafio
-gram	-gram
-icid	-icid
-intaĵo	-intaĵo
-inte	-inte
-into	-into
-itaĵo	-itaĵo
-ite	-ite
-iteco	-iteco
-ito	-ito
-iveco	-iveco
-ivo	-ivo
-land	-land
-micet	-micet
-mikot	-mikot
-mikoten	-mikoten
-morf	-morf
-nomial	-nomial
-om	-om
-onte	-onte
-onto	-onto
-opsid	-opsid
-otaĵo	-otaĵo
-oto	-oto
-ozan	-ozan
-peksi	-peksi
-propanolo	-propanolo
-som	-som
-stomi	-stomi
-tet	-tet
-tom	-tom
-tomizi	-tomizi
-trop	-trop
-unt	-unt
