表示語	解析語
abandoni	abandoni
abandonismo	abandonismo
abandono	abandono
abatiso	abatiso
abazio	abazio
abdukcio	abdukcio
abduktoro	abduktoro
abevilio	abevilio
abiogenezo	abiogenezo
ablacio	ablacio
abnorma	abnorma
abolismo	abolismo
abomaso	abomaso
abortitaĵo	abortitaĵo
abrazia	abrazia
abrazio	abrazio
abrogacii	abrogacii
abrogi	abrogi
abrogo	abrogo
abulio	abulio
abutilo	abutilo
abĵuri	abĵuri
ace	ace
acetabulo	acetabulo
acetili	acetili
acetonemio	acetonemio
acetonilo	acetonilo
acetonurio	acetonurio
acidimetro	acidimetro
acidozo	acidozo
acino	acino
acipensero	acipensero
acipenseroformaj	acipenseroformaj
adamantino	adamantino
adaptometrio	adaptometrio
adenito	adenito
adenoida	adenoida
adenoidismo	adenoidismo
adenoidito	adenoidito
adenomo	adenomo
adenopatio	adenopatio
adenozilo	adenozilo
adenpatio	adenpatio
adipo	adipo
adipogenezo	adipogenezo
adipozo	adipozo
adisona	adisona
adjudanto	adjudanto
adsubstantivo	adsubstantivo
adukcio	adukcio
aduktoro	aduktoro
adulteri	adulteri
advekcio	advekcio
adventico	adventico
adventiva	adventiva
aedo	aedo
aeremio	aeremio
aernetoleranta	aernetoleranta
aerobiko	aerobiko
aeroforo	aeroforo
aerologio	aerologio
aerometrio	aerometrio
afanipteroj	afanipteroj
aferezo	aferezo
afidavito	afidavito
afidedoj	afidedoj
afikŝo	afikŝo
afinacii	afinacii
afinacio	afinacio
afineco	afineco
afiso	afiso
agamedoj	agamedoj
agamia	agamia
agamio	agamio
agaro	agaro
agatido	agatido
agenturo	agenturo
agerato	agerato
aglutinino	aglutinino
agnozio	agnozio
agoro	agoro
agrafilo	agrafilo
agrafio	agrafio
agreŝi	agreŝi
agutio	agutio
agvarao	agvarao
ahimsa	ahimsa
ahimsano	ahimsano
ahimso	ahimso
aidoŝo	aidoŝo
airo	airo
aizoacoj	aizoacoj
aizoo	aizoo
ajapano	ajapano
ajatolo	ajatolo
aji	aji
akada	akada
akantiaso	akantiaso
akantocefaloj	akantocefaloj
akantopterigoj	akantopterigoj
akarozo	akarozo
akcidenca	akcidenca
akcidenco	akcidenco
akcipitredoj	akcipitredoj
akebio	akebio
akenaro	akenaro
akeno	akeno
akeo	akeo
akerontio	akerontio
akinezio	akinezio
akmeo	akmeo
akneo	akneo
akolio	akolio
akolito	akolito
akonitino	akonitino
akontio	akontio
akorio	akorio
akoro	akoro
akrocefala	akrocefala
akrocefalo	akrocefalo
akrocianozo	akrocianozo
akroleino	akroleino
akromatopsia	akromatopsia
akromegalio	akromegalio
akromio	akromio
akroĥordo	akroĥordo
aksiometro	aksiometro
aksoido	aksoido
aksono	aksono
akteo	akteo
aktinidibero	aktinidibero
aktinidio	aktinidio
aktiniidoj	aktiniidoj
aktinistoj	aktinistoj
aktinolito	aktinolito
aktinomiceto	aktinomiceto
aktinomicetoj	aktinomicetoj
aktinomicetozo	aktinomicetozo
aktinopterigoj	aktinopterigoj
aktualismo	aktualismo
akuŝologio	akuŝologio
akvifoliacoj	akvifoliacoj
akvifolio	akvifolio
alambiko	alambiko
alando	alando
alanino	alanino
alantoido	alantoido
alaterno	alaterno
alaŭdedoj	alaŭdedoj
albedo	albedo
albigenso	albigenso
albito	albito
albizio	albizio
albugineito	albugineito
albugineo	albugineo
albugo	albugo
albumozo	albumozo
alcededoj	alcededoj
alcelafo	alcelafo
alcionio	alcionio
alcioniuloj	alcioniuloj
aldolo	aldolo
aldosterono	aldosterono
aleatora	aleatora
aleksino	aleksino
aleksio	aleksio
alektoro	alektoro
alelo	alelo
alero	alero
aleŭrito	aleŭrito
aleŭrodedoj	aleŭrodedoj
aleŭrodo	aleŭrodo
algida	algida
algideco	algideco
alginato	alginato
algino	algino
algio	algio
algiologio	algiologio
algiologo	algiologo
algologio	algologio
algologo	algologo
algonkio	algonkio
algvazilo	algvazilo
aliario	aliario
alidado	alidado
aliel	aliel
aliena	aliena
alieneco	alieneco
alieni	alieni
alienisto	alienisto
alienulo	alienulo
alies	alies
alifata	alifata
alilo	alilo
alismacoj	alismacoj
alismo	alismo
alito	alito
aliumo	aliumo
alizarino	alizarino
alizeo	alizeo
alizujo	alizujo
alk	alk
alkadieno	alkadieno
alkado	alkado
alkaja	alkaja
alkalio	alkalio
alkalometrio	alkalometrio
alkalozo	alkalozo
alkanalo	alkanalo
alkano	alkano
alkanolato	alkanolato
alkanolo	alkanolo
alkanono	alkanono
alkarazo	alkarazo
alkazabo	alkazabo
alkazaro	alkazaro
alkekengo	alkekengo
alkeno	alkeno
alkilo	alkilo
alkoholato	alkoholato
alkoholaturo	alkoholaturo
alkoholemio	alkoholemio
almandino	almandino
almeo	almeo
almo	almo
alodo	alodo
alokazio	alokazio
aloktono	aloktono
alomorfo	alomorfo
aloritmio	aloritmio
alotrofio	alotrofio
alotropa	alotropa
alotropaĵo	alotropaĵo
alotropeco	alotropeco
alpinio	alpinio
alpismo	alpismo
alt	alt
alteracii	alteracii
alteraciiĝi	alteraciiĝi
alteracio	alteracio
alterneco	alterneco
altimetro	altimetro
altometrio	altometrio
aluato	aluato
aluminato	aluminato
aluminiato	aluminiato
alunerco	alunerco
aluntero	aluntero
alveolinedoj	alveolinedoj
alveolino	alveolino
alzano	alzano
alĝebro	alĝebro
alĝo	alĝo
amando	amando
amanitino	amanitino
amarilidacoj	amarilidacoj
amaŭrozo	amaŭrozo
ambistomo	ambistomo
ambivalenco	ambivalenco
ambliopa	ambliopa
ambliopeco	ambliopeco
amblistomo	amblistomo
ambrosio	ambrosio
ambulanĉo	ambulanĉo
ambulatoria	ambulatoria
ambulatorio	ambulatorio
amebeco	amebeco
amebismo	amebismo
amebozo	amebozo
amelanĉo	amelanĉo
amelozo	amelozo
ameno	ameno
amenoreo	amenoreo
amentuloj	amentuloj
ametropeco	ametropeco
amfetamino	amfetamino
amfiartro	amfiartro
amfibolito	amfibolito
amfibologio	amfibologio
amfineŭroj	amfineŭroj
amfiokso	amfiokso
amfipodoj	amfipodoj
amfotera	amfotera
amianto	amianto
amigdalino	amigdalino
amikto	amikto
amilazo	amilazo
amio	amio
amirido	amirido
amitozo	amitozo
amiŝo	amiŝo
amniuloj	amniuloj
amofilo	amofilo
ampeloprazo	ampeloprazo
amplifa	amplifa
amplifilo	amplifilo
amplifo	amplifo
anabaptisto	anabaptisto
anafazo	anafazo
anafora	anafora
anaforo	anaforo
anaglifa	anaglifa
anaglifo	anaglifo
anakardiacoj	anakardiacoj
anakinezio	anakinezio
anakoreto	anakoreto
analeptiko	analeptiko
analgeziko	analgeziko
analisto	analisto
anamirto	anamirto
anamorfoza	anamorfoza
anamorfozo	anamorfozo
anao	anao
anasedoj	anasedoj
anastatiko	anastatiko
anastomoza	anastomoza
anastomozi	anastomozi
anastomozo	anastomozo
anastrofo	anastrofo
anateksito	anateksito
anatekso	anatekso
anatoksino	anatoksino
ancilostomo	ancilostomo
ancilostomozo	ancilostomozo
androceo	androceo
andropogono	andropogono
androzaco	androzaco
andujeto	andujeto
andujo	andujo
aneksismo	aneksismo
anekŝi	anekŝi
anemometrio	anemometrio
anetolo	anetolo
aneŭploida	aneŭploida
angiito	angiito
angiologio	angiologio
angiomo	angiomo
angiotensino	angiotensino
anglezo	anglezo
anglicismo	anglicismo
angulilo	angulilo
angulumita	angulumita
anhidrido	anhidrido
anhidrito	anhidrito
anilido	anilido
anilo	anilo
anizidino	anizidino
anizokorio	anizokorio
anizosfigmio	anizosfigmio
ankoneo	ankoneo
ankoraŭa	ankoraŭa
ankrizita	ankrizita
anksia	anksia
anksio	anksio
anobiedoj	anobiedoj
anodonto	anodonto
anoksemio	anoksemio
anoksio	anoksio
anono	anono
anopsio	anopsio
anoreksio	anoreksio
anortito	anortito
anosmio	anosmio
anstataŭilo	anstataŭilo
antecedentoj	antecedentoj
antedono	antedono
antefikso	antefikso
antenario	antenario
anteridio	anteridio
anterozoido	anterozoido
anthelio	anthelio
anti	anti
antiklinalo	antiklinalo
antilido	antilido
antociano	antociano
antonomazio	antonomazio
