表示語	解析語
PEJVO.txt (単語数・正規化後ユニーク): 37,434	PEJVO.txt (単語数・正規化後ユニーク): 37,434
差集合 (PIVのみ): 12,964	差集合 (PIVのみ): 12,964
Aarono	Aarono
Abadono	Abadono
Abelardo	Abelardo
Abnero	Abnero
Abrahama	Abrahama
Abruzo	Abruzo
Abŝalomo	Abŝalomo
Aciso	Aciso
Adena	Adena
Adisono	Adisono
ADP	ADP
Adria	Adria
Adriano	Adriano
Afaro	Afaro
Aglajo	Aglajo
Agnio	Agnio
Agrikolo	Agrikolo
Ahasvero	Ahasvero
Akerono	Akerono
Akteono	Akteono
Akvilono	Akvilono
Akvinano	Akvinano
Alariko	Alariko
Albertino	Albertino
Albiono	Albiono
Alcestiso	Alcestiso
Alcibiado	Alcibiado
Alcinoo	Alcinoo
Aleutoj	Aleutoj
Aleĉjo	Aleĉjo
Alfonsino	Alfonsino
Alfonso	Alfonso
Alhambro	Alhambro
Alkajo	Alkajo
Alkmeno	Alkmeno
Almagesto	Almagesto
Amalekidoj	Amalekidoj
Amaleko	Amaleko
Amfitriono	Amfitriono
Amfitrito	Amfitrito
Amonidoj	Amonidoj
Amoso	Amoso
AMP	AMP
Anakreoneska	Anakreoneska
Andromaĥo	Andromaĥo
Angelino	Angelino
Angelo	Angelo
Angura	Angura
Anjo	Anjo
Anselmo	Anselmo
Antinoo	Antinoo
Antiopo	Antiopo
Antioĥio	Antioĥio
Antoneno	Antoneno
Antonenoj	Antonenoj
Anĥizo	Anĥizo
Apiso	Apiso
Apolonio	Apolonio
Argolando	Argolando
Arguso	Arguso
Ariono	Ariono
Ariosto	Ariosto
Aristido	Aristido
Armando	Armando
Artakserkso	Artakserkso
Asamio	Asamio
Asklepio	Asklepio
Asoko	Asoko
Aspazio	Aspazio
Astarto	Astarto
Astianakso	Astianakso
Atalanto	Atalanto
Atikeco	Atikeco
ATP	ATP
Atreidoj	Atreidoj
Atreo	Atreo
Averno	Averno
Averoeso	Averoeso
Avesta	Avesta
Aviceno	Aviceno
AZT	AZT
Aĥabo	Aĥabo
Aĥajano	Aĥajano
Aĥajo	Aĥajo
Aŝmodeo	Aŝmodeo
Aŭgio	Aŭgio
Aŭreliano	Aŭreliano
Aŭstronezia	Aŭstronezia
Baalo	Baalo
Badenlando	Badenlando
Bafina	Bafina
Baktro	Baktro
Bakĥa	Bakĥa
Bakĥanto	Bakĥanto
Bakĥi	Bakĥi
Bakĥofesto	Bakĥofesto
Baldueno	Baldueno
Baltazaro	Baltazaro
Banaĥo	Banaĥo
Barabaso	Barabaso
Barbaroso	Barbaroso
Barenca	Barenca
Barnabanoj	Barnabanoj
Barnabo	Barnabo
Bartolomeo	Bartolomeo
Baruĥo	Baruĥo
Bassa	Bassa
Bastiano	Bastiano
Baŝkirio	Baŝkirio
Behemoto	Behemoto
Belerofono	Belerofono
Belialo	Belialo
Belzebuto	Belzebuto
Belŝacaro	Belŝacaro
Bengalio	Bengalio
Benjameno	Benjameno
Bernardo	Bernardo
Bertrando	Bertrando
Betanio	Betanio
Bhagavadgito	Bhagavadgito
Bileamo	Bileamo
Bizancio	Bizancio
Bizantio	Bizantio
Blazio	Blazio
Blezio	Blezio
Boazo	Boazo
Bofronta	Bofronta
Bogomilo	Bogomilo
Bokaĉa	Bokaĉa
Bomarŝeo	Bomarŝeo
Bonapartisto	Bonapartisto
Bonifaco	Bonifaco
Bordozio	Bordozio
Boromeo	Boromeo
Botnia	Botnia
Brajto	Brajto
Brandenburga	Brandenburga
Brandenburgio	Brandenburgio
Briareo	Briareo
Brindizio	Brindizio
Brumero	Brumero
Bucefalo	Bucefalo
Budapesto	Budapesto
Burbonoj	Burbonoj
Burgenlando	Burgenlando
Burjatio	Burjatio
Cecilio	Cecilio
Cefizo	Cefizo
Cekropso	Cekropso
Celadono	Celadono
Celesteno	Celesteno
Cezareo	Cezareo
Cibelo	Cibelo
Cido	Cido
Cidono	Cidono
Cinno	Cinno
Cipriano	Cipriano
Circo	Circo
Cirenano	Cirenano
Cis-Jordanio	Cis-Jordanio
Cis-Kaŭkazio	Cis-Kaŭkazio
Cisterciano	Cisterciano
Cistercio	Cistercio
Citera	Citera
Dafniso	Dafniso
Dagoberto	Dagoberto
Dakio	Dakio
Daltono	Daltono
Damiano	Damiano
Damoklo	Damoklo
Danaidinoj	Danaidinoj
Danaidoj	Danaidoj
Danao	Danao
Danteca	Danteca
Danteska	Danteska
Daŭfenio	Daŭfenio
Daŭfenlando	Daŭfenlando
DDT	DDT
Dedalo	Dedalo
Demetrio	Demetrio
Demosteno	Demosteno
Denizo	Denizo
Detrojtrivero	Detrojtrivero
Dezidero	Dezidero
Deŭkaliono	Deŭkaliono
Didono	Didono
Diego	Diego
Diodoro	Diodoro
Diofanto	Diofanto
Diogeno	Diogeno
Diokleciano	Diokleciano
Diomedo	Diomedo
Dioniza	Dioniza
Dionizio	Dionizio
Diono	Diono
Dioskuroj	Dioskuroj
Diĵonio	Diĵonio
DNA	DNA
Domiciano	Domiciano
Doria	Doria
Doro	Doro
Dovro	Dovro
Dumao	Dumao
Eako	Eako
Edao	Edao
Edmundo	Edmundo
Eduardo	Eduardo
Efraimo	Efraimo
Efrato	Efrato
Egerio	Egerio
Egisto	Egisto
Eleŭziso	Eleŭziso
Eliezero	Eliezero
Elio	Elio
Elizabeta	Elizabeta
Elizo	Elizo
Elohima	Elohima
Elohimisto	Elohimisto
Emanuelo	Emanuelo
Emauso	Emauso
Emeriko	Emeriko
Emilia	Emilia
Emiliano	Emiliano
Eminjo	Eminjo
Empedoklo	Empedoklo
Endimiono	Endimiono
Eneido	Eneido
Englujo	Englujo
Eolia	Eolia
Eoliano	Eoliano
Eolio	Eolio
Epaminondo	Epaminondo
Epikteto	Epikteto
Erato	Erato
Erebo	Erebo
Erfurto	Erfurto
Erinio	Erinio
Erino	Erino
Erivano	Erivano
Erlango	Erlango
Ernestino	Ernestino
Esavo	Esavo
