display,lookup,status,notes
abandoni,abandoni,drafted,draft_vortaro_additions_20251012_0031.tsv
abandonismo,abandonismo,drafted,draft_vortaro_additions_20251012_0031.tsv
abandono,abandono,drafted,draft_vortaro_additions_20251012_0031.tsv
abatiso,abatiso,drafted,draft_vortaro_additions_20251012_0031.tsv
abazio,abazio,drafted,draft_vortaro_additions_20251012_0031.tsv
abdukcio,abdukcio,drafted,draft_vortaro_additions_20251012_0031.tsv
abduktoro,abduktoro,drafted,draft_vortaro_additions_20251012_0031.tsv
abevilio,abevilio,drafted,draft_vortaro_additions_20251012_0031.tsv
abiogenezo,abiogenezo,drafted,draft_vortaro_additions_20251012_0031.tsv
ablacio,ablacio,drafted,draft_vortaro_additions_20251012_0031.tsv
abnorma,abnorma,drafted,draft_vortaro_additions_20251012_0031.tsv
abolismo,abolismo,drafted,draft_vortaro_additions_20251012_0031.tsv
abomaso,abomaso,drafted,draft_vortaro_additions_20251012_0031.tsv
abortitaĵo,abortitaĵo,drafted,draft_vortaro_additions_20251012_0031.tsv
abrazia,abrazia,drafted,draft_vortaro_additions_20251012_0031.tsv
abrazio,abrazio,drafted,draft_vortaro_additions_20251012_0031.tsv
abrogacii,abrogacii,drafted,draft_vortaro_additions_20251012_0031.tsv
abrogi,abrogi,drafted,draft_vortaro_additions_20251012_0031.tsv
abrogo,abrogo,drafted,draft_vortaro_additions_20251012_0031.tsv
abulio,abulio,drafted,draft_vortaro_additions_20251012_0031.tsv
abutilo,abutilo,drafted,draft_vortaro_additions_20251012_0031.tsv
abĵuri,abĵuri,drafted,draft_vortaro_additions_20251012_0031.tsv
ace,ace,drafted,draft_vortaro_additions_20251012_0031.tsv
acetabulo,acetabulo,drafted,draft_vortaro_additions_20251012_0031.tsv
acetili,acetili,drafted,draft_vortaro_additions_20251012_0031.tsv
acetonemio,acetonemio,drafted,draft_vortaro_additions_20251012_0031.tsv
acetonilo,acetonilo,drafted,draft_vortaro_additions_20251012_0031.tsv
acetonurio,acetonurio,drafted,draft_vortaro_additions_20251012_0031.tsv
acidimetro,acidimetro,drafted,draft_vortaro_additions_20251012_0031.tsv
acidozo,acidozo,drafted,draft_vortaro_additions_20251012_0031.tsv
acino,acino,drafted,draft_vortaro_additions_20251012_0031.tsv
acipensero,acipensero,drafted,draft_vortaro_additions_20251012_0031.tsv
acipenseroformaj,acipenseroformaj,drafted,draft_vortaro_additions_20251012_0031.tsv
adamantino,adamantino,drafted,draft_vortaro_additions_20251012_0031.tsv
adaptometrio,adaptometrio,drafted,draft_vortaro_additions_20251012_0031.tsv
adenito,adenito,drafted,draft_vortaro_additions_20251012_0031.tsv
adenoida,adenoida,drafted,draft_vortaro_additions_20251012_0031.tsv
adenoidismo,adenoidismo,drafted,draft_vortaro_additions_20251012_0031.tsv
adenoidito,adenoidito,drafted,draft_vortaro_additions_20251012_0031.tsv
adenomo,adenomo,drafted,draft_vortaro_additions_20251012_0031.tsv
adenopatio,adenopatio,drafted,draft_vortaro_additions_20251012_0031.tsv
adenozilo,adenozilo,drafted,draft_vortaro_additions_20251012_0031.tsv
adenpatio,adenpatio,drafted,draft_vortaro_additions_20251012_0031.tsv
adipo,adipo,drafted,draft_vortaro_additions_20251012_0031.tsv
adipogenezo,adipogenezo,drafted,draft_vortaro_additions_20251012_0031.tsv
adipozo,adipozo,drafted,draft_vortaro_additions_20251012_0031.tsv
adisona,adisona,drafted,draft_vortaro_additions_20251012_0031.tsv
adjudanto,adjudanto,drafted,draft_vortaro_additions_20251012_0031.tsv
adsubstantivo,adsubstantivo,drafted,draft_vortaro_additions_20251012_0031.tsv
adukcio,adukcio,drafted,draft_vortaro_additions_20251012_0031.tsv
aduktoro,aduktoro,drafted,draft_vortaro_additions_20251012_0031.tsv
adulteri,adulteri,drafted,draft_vortaro_additions_20251012_0031.tsv
advekcio,advekcio,drafted,draft_vortaro_additions_20251012_0031.tsv
adventico,adventico,drafted,draft_vortaro_additions_20251012_0031.tsv
adventiva,adventiva,drafted,draft_vortaro_additions_20251012_0031.tsv
aedo,aedo,drafted,draft_vortaro_additions_20251012_0031.tsv
aeremio,aeremio,drafted,draft_vortaro_additions_20251012_0031.tsv
aernetoleranta,aernetoleranta,drafted,draft_vortaro_additions_20251012_0031.tsv
aerobiko,aerobiko,drafted,draft_vortaro_additions_20251012_0031.tsv
aeroforo,aeroforo,drafted,draft_vortaro_additions_20251012_0031.tsv
aerologio,aerologio,drafted,draft_vortaro_additions_20251012_0031.tsv
aerometrio,aerometrio,drafted,draft_vortaro_additions_20251012_0031.tsv
afanipteroj,afanipteroj,drafted,draft_vortaro_additions_20251012_0031.tsv
aferezo,aferezo,drafted,draft_vortaro_additions_20251012_0031.tsv
afidavito,afidavito,drafted,draft_vortaro_additions_20251012_0031.tsv
afidedoj,afidedoj,drafted,draft_vortaro_additions_20251012_0031.tsv
afikŝo,afikŝo,drafted,draft_vortaro_additions_20251012_0031.tsv
afinacii,afinacii,drafted,draft_vortaro_additions_20251012_0031.tsv
afinacio,afinacio,drafted,draft_vortaro_additions_20251012_0031.tsv
afineco,afineco,drafted,draft_vortaro_additions_20251012_0031.tsv
afiso,afiso,drafted,draft_vortaro_additions_20251012_0031.tsv
agamedoj,agamedoj,drafted,draft_vortaro_additions_20251012_0031.tsv
agamia,agamia,drafted,draft_vortaro_additions_20251012_0031.tsv
agamio,agamio,drafted,draft_vortaro_additions_20251012_0031.tsv
agaro,agaro,drafted,draft_vortaro_additions_20251012_0031.tsv
agatido,agatido,drafted,draft_vortaro_additions_20251012_0031.tsv
agenturo,agenturo,drafted,draft_vortaro_additions_20251012_0031.tsv
agerato,agerato,drafted,draft_vortaro_additions_20251012_0031.tsv
aglutinino,aglutinino,drafted,draft_vortaro_additions_20251012_0031.tsv
agnozio,agnozio,drafted,draft_vortaro_additions_20251012_0031.tsv
agoro,agoro,drafted,draft_vortaro_additions_20251012_0031.tsv
agrafilo,agrafilo,drafted,draft_vortaro_additions_20251012_0031.tsv
agrafio,agrafio,drafted,draft_vortaro_additions_20251012_0031.tsv
agreŝi,agreŝi,drafted,draft_vortaro_additions_20251012_0031.tsv
agutio,agutio,drafted,draft_vortaro_additions_20251012_0031.tsv
agvarao,agvarao,drafted,draft_vortaro_additions_20251012_0031.tsv
ahimsa,ahimsa,drafted,draft_vortaro_additions_20251012_0031.tsv
