PIV2020 にあって PEJVO にない単語を literumilo で語根分解した結果 (見出し語 + 派生語, 空白語除外)
対象語数: 12,966

表示語	解析語	有効?	語根分解結果
PEJVO.txt (単語数・正規化後ユニーク): 37,434	PEJVO.txt (単語数・正規化後ユニーク): 37,434	False	PEJVO..txt (単語数・正規化後ユニーク): 37,43
差集合 (PIVのみ): 12,964	差集合 (PIVのみ): 12,964	False	差集合 (PIVのみ): 12,964
-adien	adien	False	adien
-anc	anc	False	anc
-antaĵo	antaĵo	False	antaĵo
-ante	ante	False	ante
-anto	anto	False	anto
-ataĵo	ataĵo	False	ataĵo
-ate	ate	False	ate
-ateco	ateco	False	ateco
-ato	ato	False	ato
-ator	ator	False	ator
-az	az	False	az
-butenalo	butenalo	False	butenalo
-eja	eja	True	ej.a
-fic	fic	False	fic
-fit	fit	False	fit
-gami	gami	True	gam.i
-gen	gen	False	gen
-gene	gene	True	gen.e
-graf	graf	False	graf
-grafio	grafio	False	grafio
-gram	gram	False	gram
-icid	icid	False	icid
-ine	ine	True	in.e
-ini	ini	True	in.i
-intaĵo	intaĵo	False	intaĵo
-inte	inte	False	inte
-into	into	False	into
-itaĵo	itaĵo	False	itaĵo
-ite	ite	False	ite
-iteco	iteco	False	iteco
-ito	ito	False	ito
-iveco	iveco	False	iveco
-ivo	ivo	False	ivo
-land	land	False	land
-micet	micet	False	micet
-mikot	mikot	False	mikot
-mikoten	mikoten	False	mikoten
-morf	morf	False	morf
-nomial	nomial	False	nomial
-om	om	False	om
-onte	onte	False	onte
-onto	onto	False	onto
-opsid	opsid	False	opsid
-otaĵo	otaĵo	False	otaĵo
-oto	oto	False	oto
-ozan	ozan	False	ozan
-peksi	peksi	False	peksi
-propanolo	propanolo	False	propanolo
-propenilo	propenilo	True	pro.pen.il.o
-som	som	False	som
-stomi	stomi	False	stomi
-tet	tet	False	tet
-tom	tom	False	tom
-tomizi	tomizi	False	tomizi
-trop	trop	False	trop
-unt	unt	False	unt
-vora	vora	True	vor.a
-voranto	voranto	True	vor.ant.o
-voruloj	voruloj	True	vor.ul.oj
Aarono	Aarono	False	Aarono
Abadono	Abadono	False	Abadono
abandoni	abandoni	False	abandoni
abandonismo	abandonismo	False	abandonismo
abandono	abandono	False	abandono
abatiso	abatiso	False	abatiso
abazio	abazio	False	abazio
abdukcio	abdukcio	False	abdukcio
abduktoro	abduktoro	False	abduktoro
Abelardo	Abelardo	False	Abelardo
aberacii	aberacii	True	aberaci.i
abevilio	abevilio	False	abevilio
abiogenezo	abiogenezo	False	abiogenezo
ablacio	ablacio	False	ablacio
Abnero	Abnero	False	Abnero
abnorma	abnorma	False	abnorma
abolismo	abolismo	False	abolismo
abolo	abolo	True	abol.o
abomaso	abomaso	False	abomaso
abortitaĵo	abortitaĵo	False	abortitaĵo
Abrahama	Abrahama	False	Abrahama
