Words resolved by literumilo (current) but invalid in literumilo_old:
---------------------------------------------------------------------
abateco	expected=abat.ec.o	old_output=abateco
abĥazio	expected=abĥaz.i.o	old_output=abĥazio
abiaro	expected=abi.ar.o	old_output=abiaro
abipiceo	expected=abi.pice.o	old_output=abipiceo
abipinglo	expected=abi.pingl.o	old_output=abipinglo
abisenio	expected=abisen.i.o	old_output=abisenio
abocolibro	expected=aboc.o.libr.o	old_output=abocolibro
abolicii	expected=abolici.i	old_output=abolicii
aboliciismo	expected=abolici.ism.o	old_output=aboliciismo
abolicio	expected=abolici.o	old_output=abolicio
aborigeno	expected=aborigen.o	old_output=aborigeno
abortito	expected=abort.it.o	old_output=abortito
abrahamo	expected=abraham.o	old_output=abrahamo
abruzoj	expected=abruz.oj	old_output=abruzoj
absolutismo	expected=absolut.ism.o	old_output=absolutismo
absolutisto	expected=absolut.ist.o	old_output=absolutisto
abstemio	expected=abstemi.o	old_output=abstemio
abstinenco	expected=abstinenc.o	old_output=abstinenco
abstraktismo	expected=abstrakt.ism.o	old_output=abstraktismo
acetato	expected=acetat.o	old_output=acetato
acetileno	expected=acetilen.o	old_output=acetileno
acetilo	expected=acetil.o	old_output=acetilo
acetono	expected=aceton.o	old_output=acetono
aĉeŭleo	expected=aĉeŭle.o	old_output=aĉeŭleo
adamo	expected=adam.o	old_output=adamo
adampomo	expected=adam.pom.o	old_output=adampomo
adelajdo	expected=adelajd.o	old_output=adelajdo
adenino	expected=adenin.o	old_output=adenino
adeno	expected=aden.o	old_output=adeno
adenozino	expected=adenozin.o	old_output=adenozino
adjudiki	expected=adjudik.i	old_output=adjudiki
administratoro	expected=administrator.o	old_output=administratoro
admiralitato	expected=admiralitat.o	old_output=admiralitato
adoleskanteco	expected=adolesk.ant.ec.o	old_output=adoleskanteco
adoleskantino	expected=adolesk.ant.in.o	old_output=adoleskantino
adoleskanto	expected=adolesk.ant.o	old_output=adoleskanto
adolfo	expected=adolf.o	old_output=adolfo
adonido	expected=adonid.o	old_output=adonido
adoniso	expected=adonis.o	old_output=adoniso
adoptofilino	expected=adopt.o.fil.in.o	old_output=adoptofilino
adoptofilo	expected=adopt.o.fil.o	old_output=adoptofilo
adsorbi	expected=adsorb.i	old_output=adsorbi
adversa	expected=advers.a	old_output=adversa
adversulo	expected=advers.ul.o	old_output=adversulo
aernetolera	expected=aer.ne.toler.a	old_output=aernetolera
aerofagio	expected=aerofagi.o	old_output=aerofagio
aerrezervujo	expected=aer.rezerv.uj.o	old_output=aerrezervujo
agamemnono	expected=agamemnon.o	old_output=agamemnono
agapanto	expected=agapant.o	old_output=agapanto
agavbrando	expected=agav.brand.o	old_output=agavbrando
agavovino	expected=agav.o.vin.o	old_output=agavovino
agavvino	expected=agav.vin.o	old_output=agavvino
agnostikismo	expected=agnostikism.o	old_output=agnostikismo
agresiva	expected=agresiv.a	old_output=agresiva
agrigento	expected=agrigent.o	old_output=agrigento
agripino	expected=agrip.in.o	old_output=agripino
agripo	expected=agrip.o	old_output=agripo
aĥaŝveroŝo	expected=aĥaŝveroŝ.o	old_output=aĥaŝveroŝo
aĥemenidoj	expected=aĥemen.id.oj	old_output=aĥemenidoj
aĥemeno	expected=aĥemen.o	old_output=aĥemeno
aĥeno	expected=aĥen.o	old_output=aĥeno
aĥerono	expected=aĥeron.o	old_output=aĥerono
aĥilo	expected=aĥil.o	old_output=aĥilo
aideso	expected=aides.o	old_output=aideso
aikso	expected=aiks.o	old_output=aikso
aina	expected=ain.a	old_output=aina
aino	expected=ain.o	old_output=aino
ajakso	expected=ajaks.o	old_output=ajakso
ajnisto	expected=ajn.ist.o	old_output=ajnisto
ajnua	expected=ajnu.a	old_output=ajnua
ajnulo	expected=ajn.ul.o	old_output=ajnulo
ajnuo	expected=ajnu.o	old_output=ajnuo
akabo	expected=akab.o	old_output=akabo
akado	expected=akad.o	old_output=akado
akadujo	expected=akad.uj.o	old_output=akadujo
akaruloj	expected=akar.ul.oj	old_output=akaruloj
akcipitredo	expected=akcipitr.ed.o	old_output=akcipitredo
akcizenda	expected=akciz.end.a	old_output=akcizenda
akridedoj	expected=akrided.oj	old_output=akridedoj
aksiso	expected=aksis.o	old_output=aksiso
aksumi	expected=aks.um.i	old_output=aksumi
aktivismo	expected=aktiv.ism.o	old_output=aktivismo
aktivisto	expected=aktiv.ist.o	old_output=aktivisto
akumulatoro	expected=akumulator.o	old_output=akumulatoro
akvino	expected=akvin.o	old_output=akvino
akvofeino	expected=akv.o.fe.in.o	old_output=akvofeino
akvofeo	expected=akv.o.fe.o	old_output=akvofeo
akvogeneratoro	expected=akv.o.generator.o	old_output=akvogeneratoro
akvopoto	expected=akv.o.pot.o	old_output=akvopoto
akvopulo	expected=akv.o.pul.o	old_output=akvopulo
akvorezervujo	expected=akv.o.rezerv.uj.o	old_output=akvorezervujo
alabamo	expected=alabam.o	old_output=alabamo
alaho	expected=alah.o	old_output=alaho
alaĵo	expected=al.aĵ.o	old_output=alaĵo
alberto	expected=albert.o	old_output=alberto
alĉemilo	expected=alĉemil.o	old_output=alĉemilo
aldebarano	expected=aldebaran.o	old_output=aldebarano
aldernejo	expected=aldernej.o	old_output=aldernejo
aleganoj	expected=alegan.oj	old_output=aleganoj
aleto	expected=al.et.o	old_output=aleto
aleŭtoj	expected=aleŭt.oj	old_output=aleŭtoj
alfabetumo	expected=alfabet.um.o	old_output=alfabetumo
alfaradioj	expected=alfa.radi.oj	old_output=alfaradioj
alfredo	expected=alfred.o	old_output=alfredo
algolo	expected=algol.o	old_output=algolo
alico	expected=alic.o	old_output=alico
